PSID Gene Module kTotal kWithin kOut kDiff rank
MRPS21P1 MRPS21P1 darkorange 21.8555995719674 11.1076318715741 10.7479677003933 0.359664171180746 1
RNU6-1180P RNU6-1180P darkorange 23.4992242271233 9.04102702051396 14.4581972066093 -5.41717018609535 2
RNU2-36P RNU2-36P darkorange 18.3346632829399 7.63000772623037 10.7046555567095 -3.07464783047916 3
RNU5E-5P RNU5E-5P darkorange 21.6280398876609 7.62275640987828 14.0052834777826 -6.38252706790434 4
RNA5SP367 RNA5SP367 darkorange 17.8513616812993 7.29851278131639 10.552848899983 -3.25433611866656 5
AC016727.2 AC016727.2 darkorange 17.5455758446253 6.90531849196884 10.6402573526565 -3.73493886068764 6
CLDN4 CLDN4 darkorange 16.1830851317536 5.84663188703437 10.3364532447192 -4.48982135768481 7
AC021205.2 AC021205.2 darkorange 17.8797572320239 5.7018538545382 12.1779033774857 -6.47604952294754 8
AP006437.2 AP006437.2 darkorange 21.5988439420657 5.60057964861783 15.9982642934478 -10.39768464483 9
CHCHD2P4 CHCHD2P4 darkorange 18.0888200114537 5.56479028695118 12.5240297245025 -6.95923943755132 10
AC111000.3 AC111000.3 darkorange 17.4672784319281 5.11428962832572 12.3529888036024 -7.23869917527669 11
AC097504.1 AC097504.1 darkorange 16.1339950456605 4.95812459168876 11.1758704539717 -6.21774586228298 12
DUXAP3 DUXAP3 darkorange 15.7574374299849 4.9111900327373 10.8462473972476 -5.9350573645103 13
AC006158.1 AC006158.1 darkorange 15.7342805674618 4.87233653441305 10.8619440330487 -5.98960749863569 14
LINC02460 LINC02460 darkorange 21.9447449510658 4.8511132565595 17.0936316945063 -12.2425184379468 15
BX510359.4 BX510359.4 darkorange 15.0132253528912 4.77993022940099 10.2332951234902 -5.45336489408922 16
AP000648.2 AP000648.2 darkorange 15.547789342276 4.70845945294256 10.8393298893334 -6.13087043639087 17
AC091152.3 AC091152.3 darkorange 16.2162141817375 4.64682731944608 11.5693868622915 -6.92255954284537 18
RNU6-222P RNU6-222P darkorange 14.7297245448063 4.45226447836275 10.2774600664436 -5.82519558808082 19
RNU4-57P RNU4-57P darkorange 14.4811760719503 4.33815836320271 10.1430177087476 -5.80485934554485 20
AP000477.1 AP000477.1 darkorange 16.0419596936649 4.24207838940722 11.7998813042576 -7.55780291485041 21
AC026798.1 AC026798.1 darkorange 16.0902907829308 4.20896046409061 11.8813303188402 -7.67236985474958 22
