"","c1_HuAgeGBsplitRnaseq_11....TAPbyQNP__"
"1","ADGRA3"
"2","ANAPC4"
"3","ANKIB1"
"4","ANO4"
"5","APBB2"
"6","ATG4C"
"7","ATP5ME"
"8","ATP8A1"
"9","B3GALNT1"
"10","BDH2"
"11","CC2D2A"
"12","CCDC25"
"13","CISD2"
"14","COBL"
"15","CRMP1"
"16","CSRP2"
"17","CTBP1"
"18","DDX1"
"19","DERL1"
"20","DGKQ"
"21","DHX15"
"22","DUSP19"
"23","FAM133B"
"24","FAM193A"
"25","FAM53A"
"26","FBXL5"
"27","GAK"
"28","GATAD1"
"29","GNG12"
"30","GNPDA2"
"31","GRK4"
"32","GUF1"
"33","HIST1H2BI"
"34","HTT"
"35","KLHL5"
"36","KRIT1"
"37","LANCL1"
"38","LCORL"
"39","LETM1"
"40","LRIF1"
"41","LRIG3"
"42","LYAR"
"43","MAGI2"
"44","MAP7"
"45","MAPK8"
"46","MED28"
"47","MFSD10"
"48","NAV1"
"49","NELFA"
"50","NFXL1"
"51","NSD2"
"52","PACRGL"
"53","PCGF3"
"54","PDS5A"
"55","PEX1"
"56","PPP2R2B"
"57","RAB28"
"58","RAP1A"
"59","RFC1"
"60","RGL3"
"61","RGS12"
"62","RNF4"
"63","SH3TC2"
"64","SLBP"
"65","SLC30A9"
"66","SMC6"
"67","SMIM14"
"68","TAPT1"
"69","TBC1D19"
"70","TFEB"
"71","TMEM128"
"72","TMEM175"
"73","TMEM33"
"74","TMPRSS5"
"75","TPD52"
"76","TRIM59"
"77","TRMT44"
"78","UBE2K"
"79","UGDH"
"80","WDR19"
"81","ZBTB40"
"82","ZBTB49"
"83","ZCCHC24"
"84","ZCCHC4"
