"","c1_HuAgeGBsplitRnaseq_43....QSVZbyPSVZ__"
"1","AAR2"
"2","ABHD12"
"3","ACOT8"
"4","AP5S1"
"5","ARFGAP1"
"6","ARFGEF2"
"7","ARFRP1"
"8","ATP1A2"
"9","ATP9A"
"10","ATRN"
"11","BCL2L1"
"12","BLCAP"
"13","BTBD3"
"14","C20orf194"
"15","CDK5RAP1"
"16","CDS2"
"17","CEP250"
"18","CHD6"
"19","CHMP4B"
"20","CPNE1"
"21","CRLS1"
"22","CSNK2A1"
"23","CTSA"
"24","CWF19L2"
"25","DDRGK1"
"26","DZANK1"
"27","EBF4"
"28","EDEM2"
"29","ELMO2"
"30","ERGIC3"
"31","GAP43"
"32","GID8"
"33","HM13"
"34","IDH3B"
"35","KIAA0040"
"36","LMF1"
"37","LZTS3"
"38","MAN2B1"
"39","MANBAL"
"40","MAVS"
"41","MOCS3"
"42","MRPS26"
"43","NRSN2"
"44","OSBPL2"
"45","PANK2"
"46","PCMTD2"
"47","PIGT"
"48","PLTP"
"49","PRNP"
"50","PYGB"
"51","RALGAPB"
"52","RASSF2"
"53","RBCK1"
"54","RETSAT"
"55","RNF24"
"56","RPN2"
"57","RPRD1B"
"58","RRBP1"
"59","SERINC3"
"60","SLC23A2"
"61","SLC24A3"
"62","SMOX"
"63","SNPH"
"64","SNTA1"
"65","SNX21"
"66","SPARCL1"
"67","SPATA2"
"68","SPON1"
"69","SRC"
"70","STAU1"
"71","SULF2"
"72","TCFL5"
"73","TMEM230"
"74","TMX4"
"75","TTPAL"
"76","UCKL1"
"77","UQCC1"
"78","ZGPAT"
"79","ZHX3"
