"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"ABCB7",1.26985348804266,1.40572787126558,1.33779067965412,1.33779067965412,1.33779067965412
"ABCB9",1.85154464721256,2.08436051828785,1.9679525827502,1.9679525827502,1.9679525827502
"ABHD10",3.99504679570336,4.16160189822199,4.07832434696268,4.07832434696268,4.07832434696268
"ABRACL",2.74316350266938,2.92201983724921,2.8325916699593,2.8325916699593,2.8325916699593
"AC002056.1",2.64712682248173,2.91015350011842,2.77864016130008,2.77864016130008,2.77864016130008
"AC002451.2",0.908897189515097,1.09465933201614,1.00177826076562,1.00177826076562,1.00177826076562
"AC002504.1",0,0.678619615930092,0.339309807965046,0.339309807965046,0.339309807965046
"AC002524.1",5.18114717951591,5.52122344485558,5.35118531218574,5.35118531218574,5.35118531218574
"AC002540.1",0,0.49315806912692,0.24657903456346,0.24657903456346,0.24657903456346
"AC003005.2",0.466371945350849,0.60313483035018,0.534753387850515,0.534753387850515,0.534753387850515
"AC003092.2",0.245655016401988,0.389320975720894,0.317487996061441,0.317487996061441,0.317487996061441
"AC003101.2",0.216872228857913,0.480019627708291,0.348445928283102,0.348445928283102,0.348445928283102
"AC003986.3",1.22044513725242,1.32393510656921,1.27219012191082,1.27219012191082,1.27219012191082
"AC004023.1",0.266805924766202,0.639305892165518,0.45305590846586,0.45305590846586,0.45305590846586
"AC004069.1",0.597579999295461,1.08266978808216,0.840124893688812,0.840124893688812,0.840124893688812
"AC004080.4",0.310418456802112,0.629600414931176,0.470009435866644,0.470009435866644,0.470009435866644
"AC004112.1",1.13267224651556,1.36887546800865,1.25077385726211,1.25077385726211,1.25077385726211
"AC004130.1",1.82152328679327,2.12118879401144,1.97135604040236,1.97135604040236,1.97135604040236
"AC004233.3",0.839792364012136,0.981264132447411,0.910528248229774,0.910528248229774,0.910528248229774
"AC004264.2",1.14394285870748,1.13877001718129,1.14135643794438,1.14135643794438,1.14135643794438
"AC004383.1",1.68428668284666,2.06893007208111,1.87660837746389,1.87660837746389,1.87660837746389
"AC004477.3",3.31527993440318,3.50516201530198,3.41022097485258,3.41022097485258,3.41022097485258
"AC004801.7",1.11334797424394,1.22872001957349,1.17103399690872,1.17103399690872,1.17103399690872
"AC004817.3",1.55696347092236,1.50051465043323,1.5287390606778,1.5287390606778,1.5287390606778
"AC004817.4",1.56257610738854,1.90380331434012,1.73318971086433,1.73318971086433,1.73318971086433
"AC004832.6",0.195670369639356,1.12932151084859,0.662495940243974,0.662495940243974,0.662495940243974
"AC004847.1",0,0.637920497673627,0.318960248836813,0.318960248836813,0.318960248836813
"AC004890.1",2.19903785833892,2.62520225552526,2.41212005693209,2.41212005693209,2.41212005693209
"AC004910.1",0.62965889719561,0.91003507314975,0.76984698517268,0.76984698517268,0.76984698517268
"AC004941.1",0.663740058713189,1.03482313758014,0.849281598146663,0.849281598146663,0.849281598146663
"AC004947.1",0.527816225323076,0.715572410378051,0.621694317850564,0.621694317850564,0.621694317850564
"AC004982.2",0.815597448876829,1.00057845980888,0.908087954342856,0.908087954342856,0.908087954342856
"AC004990.1",0.627262607844542,0.966472989970231,0.796867798907387,0.796867798907387,0.796867798907387
"AC005005.4",0.957168111770913,1.07660689479169,1.0168875032813,1.0168875032813,1.0168875032813
"AC005261.4",0.771897229985757,1.28749081689925,1.0296940234425,1.0296940234425,1.0296940234425
"AC005332.8",0.767160019685801,1.49003538132593,1.12859770050586,1.12859770050586,1.12859770050586
"AC005393.1",2.24833869916868,2.6664704748637,2.45740458701619,2.45740458701619,2.45740458701619
"AC005410.1",0.535442226131093,0.783174989952339,0.659308608041716,0.659308608041716,0.659308608041716
"AC005479.1",0.148075872943979,0.45918201631918,0.303628944631579,0.303628944631579,0.303628944631579
"AC005479.2",0.298915865920217,0.689424400018723,0.49417013296947,0.49417013296947,0.49417013296947
"AC005578.1",0.611363868557364,0.846969715418583,0.729166791987974,0.729166791987974,0.729166791987974
"AC005592.1",1.41839227872758,1.4515110335642,1.43495165614589,1.43495165614589,1.43495165614589
"AC005618.1",0.588124093247702,0.702936672248735,0.645530382748218,0.645530382748218,0.645530382748218
"AC005695.3",0.2273328276412,0.741074758188788,0.484203792914994,0.484203792914994,0.484203792914994
"AC005696.3",0.596415053061584,0.930059847311586,0.763237450186585,0.763237450186585,0.763237450186585
"AC005703.5",1.2013077906148,1.18182797089045,1.19156788075263,1.19156788075263,1.19156788075263
"AC005736.1",0.884457943345593,0.978321434636867,0.93138968899123,0.93138968899123,0.93138968899123
"AC005740.1",0.295887037848247,0.726303167444147,0.511095102646197,0.511095102646197,0.511095102646197
"AC005899.6",1.08026357586652,1.10216094082829,1.09121225834741,1.09121225834741,1.09121225834741
"AC005899.7",1.37937710379478,1.56143042846459,1.47040376612968,1.47040376612968,1.47040376612968
"AC005906.1",0.101372087509217,0.536497040769765,0.318934564139491,0.318934564139491,0.318934564139491
"AC006023.1",0.857952080484314,1.05696346971567,0.957457775099993,0.957457775099993,0.957457775099993
"AC006033.1",0.513290063210147,1.49948011510074,1.00638508915544,1.00638508915544,1.00638508915544
"AC006058.3",2.21641644079546,2.80887617657458,2.51264630868502,2.51264630868502,2.51264630868502
"AC006238.1",1.03693457624988,1.6660137663185,1.35147417128419,1.35147417128419,1.35147417128419
"AC006378.2",0.437398823493892,0.602965709988037,0.520182266740964,0.520182266740964,0.520182266740964
"AC006449.2",0.460142567976741,0.768422126107405,0.614282347042073,0.614282347042073,0.614282347042073
